account,amount
0x246bb72f98C136cC6A6a2F4972801bE14AeAb70C,14285714285714300000000000
0x7ABF8f8590C9d00448fEc66A65E6D3516e6b123f,14285714285714300000000000
0x61dcC622A5c0Aa1Ca8737B8A5Fbc39206C8f346f,7142857142857140000000000
0xDEADBEEFadf9f06945b3dfaf4f73fdecc70e1c89,7142857142857140000000000
0xBA6dAEF2e74Dae3D107cFbA3DFa429325B5eA01a,7142857142857140000000000
0x506109C8C43B1838a466f37dc3F57019fA0537cA,7142857142857140000000000
0xCa11da7a79feD17008d8bf03B2CFbeb2c9a0b752,3571428571428570000000000
0x380Bc40aa62DC046d03dE5fa68cfAe3c1f2946d4,3571428571428570000000000
0x4B61eeF6ac94582e958010928E0F006D31Ef0F1A,3571428571428570000000000
0x0041C9afFb49b4706D1e58c5d9003a4bf22D633c,3571428571428570000000000
0x21e63fD29320B91f0E3878A81CF56BC8D71EcbC5,3571428571428570000000000
0x7439004f73c4e7776AeA456AAc7d4BE2F5AfaEbF,3571428571428570000000000
0xF27a834A568f9dF7A3eBeC1630f5f70b5c1e2D0B,3050595238095240000000000
0xcEBfe2eA751E69eA5022097A18f0d2E5E50a1B2a,2455357142857140000000000
0x64817A291A518068eDE946f69a053CDC0e7ECE09,2678571428571430000000000
0xBEEF4DADE5cA40347ED018Bf80c6FD244eD44492,2678571428571430000000000
0xf6496355ab24Cbc95e773854166ab955A691391f,1785714285714290000000000
0x6B809ef125e708702d33111C4b7Ee49460260DF7,1785714285714290000000000
0xcd6e9D8ac1a23614772EcA1c12633784D26E925B,1785714285714290000000000
0xA6Eb9349E3d73ec5b7A6b6e34CaFc777eE80E30b,1785714285714290000000000
0xC08d1Ba915daa96f2677158d28962D7c4da4CD80,1785714285714290000000000
0x255674D34E695100b8060f3F32D5D19D14196476,892857142857143000000000
